"crop","variety","variety_harmonized"
"teff","tesday",""
"teff","tesfa",""
"teff","tesfa ",""
"teff","tseday",""
"teff","tseday ",""
"teff","tseday ( cr 37)",""
"teff","tseday ( cr37)",""
"teff","tsedey",""
"teff","wellenkami",""
"teff","worekiyo",""
"teff","worekiyu",""
"teff","workay",""
"teff","workiytu",""
"teff","yilmana",""
"teff","ziquala",""
"teff","zobel",""
"teff","zoble",""
"wheat"," obora",""
"wheat","0901cho",""
"wheat","227061 (am 3)",""
"wheat","8206 (dg-6)",""
"wheat","aldero",""
"wheat","alem tena",""
"wheat","alemtena",""
"wheat","alidoro",""
"wheat","ashmonmene",""
"wheat","assessa",""
"wheat","avola",""
"wheat","bakalicha",""
"wheat","bichena",""
"wheat","bika",""
"wheat","biqa",""
"wheat","blackwheat",""
"wheat","boqa",""
"wheat","bulk",""
"wheat","bulluk",""
"wheat","bulluk
",""
"wheat","bulq",""
"wheat","buluk",""
"wheat","cocorit-71",""
"wheat","d10",""
"wheat","d3",""
"wheat","d9",""
"wheat","daka",""
"wheat","dambal",""
"wheat","dambal
",""
"wheat","danbal",""
"wheat","danda",""
"wheat","danda?a",""
"wheat","dandaa",""
"wheat","dandi-16",""
"wheat","danfe",""
"wheat","danphe",""
"wheat","deka-11",""
"wheat","dembal",""
"wheat","dembel",""
"wheat","denbi",""
"wheat","dendea",""
"wheat","dendua",""
"wheat","digalu",""
"wheat","digalu
",""
"wheat","dire",""
"wheat","don matthew",""
"wheat","donmatto",""
"wheat","dure",""
"wheat","ejersa",""
"wheat","enseno",""
"wheat","etbw8260",""
"wheat","etw738",""
"wheat","fetan",""
"wheat","flakit",""
"wheat","gebabi (local oromia)",""
"wheat","gebabido (local oromia)",""
"wheat","ginchi",""
"wheat","gomad",""
"wheat","haddis",""
"wheat","hdase",""
"wheat","hibist",""
"wheat","hibsit",""
"wheat","hidase",""
"wheat","hidassie",""
"wheat","hidassie
",""
"wheat","hidese",""
"wheat","hitosa",""
"wheat","hodis 6364",""
"wheat","hogana",""
"wheat","honqolo",""
"wheat","huluka",""
"wheat","huluqa",""
"wheat","ilani",""
"wheat","jalane",""
"wheat","kakaba",""
"wheat","kekeba",""
"wheat","kilinto",""
"wheat","king bird",""
"wheat","king-bird",""
"wheat","kingbared",""
"wheat","kingbird",""
"wheat","kingdird",""
"wheat","leliso",""
"wheat","lemu",""
"wheat","lemu
",""
"wheat","liban",""
"wheat","liban
",""
"wheat","liben",""
"wheat","local",""
"wheat","lucho (local oromia)",""
"wheat","mada walabu",""
"wheat","madawalabu",""
"wheat","madda walabu",""
"wheat","madda walabu ",""
"wheat","malefiya",""
"wheat","mandayou",""
"wheat","mandoyou",""
"wheat","mandoyu",""
"wheat","mangudo",""
"wheat","megenagna",""
"wheat","mekele3",""
"wheat","mekele4",""
"wheat","mekelle 1",""
"wheat","mekelle 1 ",""
"wheat","mekelle 2",""
"wheat","mekelle 2 ",""
"wheat","mekelle 3",""
"wheat","mekelle 3 ",""
"wheat","mekelle 4",""
"wheat","mekelle-3",""
"wheat","mekelle-4",""
"wheat","melieley",""
"wheat","menz",""
"wheat","menze",""
"wheat","metaya",""
"wheat","mossobo",""
"wheat","mu-1",""
"wheat","mu2",""
"wheat","mu3",""
"wheat","mukiye",""
"wheat","obora",""
"wheat","obora-07",""
"wheat","oboro",""
"wheat","oboro
",""
"wheat","oda",""
"wheat","odie",""
"wheat","ogolcho",""
"wheat","ogolicho",""
"wheat","paven",""
"wheat","picafloor",""
"wheat","picaflor",""
"wheat","qaqaba",""
"wheat","rigat",""
"wheat","sanate",""
"wheat","sante-04",""
"wheat","selam",""
"wheat","senate",""
"wheat","senate
",""
"wheat","shehan",""
"wheat","shorima",""
"wheat","shorma",""
"wheat","simba",""
"wheat","sofumar",""
"wheat","sofumer",""
"wheat","sofumerr",""
"wheat","sora",""
"wheat","sorra",""
"wheat","ssm 10-130",""
"wheat","ssm 19-129",""
"wheat","ssm 19-91",""
"wheat","ssm 36-12",""
"wheat","ssm 46-118",""
"wheat","ssm 51-16",""
"wheat","ssm 51-51",""
"wheat","ssm1-16",""
"wheat","ssm32-10",""
"wheat","ssm5-111",""
"wheat","tate",""
"wheat","tay",""
"wheat","taye",""
"wheat","taye-15",""
"wheat","tesfaya",""
"wheat","tesfaye",""
"wheat","toltu",""
"wheat","tosa",""
"wheat","tossa",""
"wheat","tsehay",""
"wheat","tshay",""
"wheat","ude",""
"wheat","utuba",""
"wheat","wame",""
"wheat","wane",""
"wheat","wane
",""
"wheat","wanie",""
"wheat","warkaye",""
"wheat","wehabit",""
"wheat","werer",""
"wheat","yerer",""
