"","trial","crop","planting_date_avg","planting_date_min","planting_date_max"
"112","2019_amh_fagita_tef","teff",2011-10-23,2011-10-18,2011-10-28
"113","2019_amh_gonchasiso_tef","teff",NaN,Inf,-Inf
"114","2019_amh_gonchasiso_wheat","breadwheat",2011-11-11,2011-01-11,2011-11-25
"115","2019_amh_habru_k34_tef","teff",2019-08-06,2019-08-05,2019-08-08
"116","2019_amh_harbu_k35_tef","teff",2019-08-09,2019-08-01,2019-08-24
"117","2019_amh_meket_barley","barley",NaN,Inf,-Inf
"118","2019_amh_meket_wheat","breadwheat",2024-12-27,2017-10-01,2029-10-12
"119","2019_amh_meket_wheat","durumwheat",2024-12-27,2017-10-01,2029-10-12
"120","2019_amh_nachefer_ambeshen_tef","teff",NaN,Inf,-Inf
"121","2019_amh_nachefer_libendankura_tef","teff",NaN,Inf,-Inf
"122","2019_amh_nachefer_senkor_tef","teff",2011-07-10,2011-03-11,2011-11-11
"123","2019_amh_nachefer_tef","teff",2011-07-10,2011-02-12,2011-12-11
"124","2019_amhara_metema_sesame","sesame",2011-07-28,2011-01-11,2012-07-11
"125","2019_amhara_metema_soyabean2","soybean",2011-04-23,2011-01-11,2011-11-11
"126","2019_amhara_na_senkor_tef","teff",2011-07-10,2011-03-11,2011-11-11
"127","2019_dalocha_gk_tef","teff",2011-11-14,2011-11-12,2011-11-18
"128","2019_harobulluk_wheat","breadwheat",2019-07-25,2019-07-17,2019-08-04
"129","2019_humbo_abella_hbean","haricotbean",2011-06-17,2011-05-12,2011-08-11
"130","2019_humbo_abella_hbean","commonbean",2011-06-17,2011-05-12,2011-08-11
"131","2019_humbo_koisha_hbean","commonbean",NaN,Inf,-Inf
"132","2019_humbo_koisha_hbean","haricotbean",NaN,Inf,-Inf
"133","2019_kedidagamela_haricotbean","haricotbean",2011-08-23,2011-08-11,2011-11-28
"134","2019_kedidagamela_haricotbean","commonbean",2011-08-23,2011-08-11,2011-11-28
"135","2019_oe_chiro_haricotbean","haricotbean",2011-08-03,2011-01-11,2011-12-11
"136","2019_oe_chiro_haricotbean","commonbean",2011-08-03,2011-01-11,2011-12-11
"137","2019_oe_chiro_sorghum","sorghum",2011-07-03,2011-01-10,2011-12-10
"138","2019_oe_chiro_tef","teff",2012-12-01,2012-12-01,2012-12-01
"139","2019_oe_doba_haricotbean","commonbean",2011-11-14,2011-11-04,2011-11-29
"140","2019_oe_doba_haricotbean","haricotbean",2011-11-14,2011-11-04,2011-11-29
"141","2019_oe_doba_maize1","maize",2011-09-28,2011-09-13,2011-10-30
"142","2019_oe_doba_wheat","breadwheat",2011-11-18,2011-11-02,2011-11-30
"143","2019_oe_doba_wheat","durumwheat",2011-11-18,2011-11-02,2011-11-30
"144","2019_oe_girawa_fababean","fababean",2011-05-12,2011-05-12,2011-05-12
"145","2019_oe_girawa_sorghum","sorghum",NaN,Inf,-Inf
"146","2019_oe_girawa_tef","teff",NaN,Inf,-Inf
"147","2019_oe_jarso_maize","maize",2011-08-14,2011-05-09,2011-12-09
"148","2019_oe_jarso_wheat","breadwheat",2011-11-25,2011-02-11,2012-11-11
"149","2019_oe_jarso_wheat","durumwheat",2011-11-25,2011-02-11,2012-11-11
"150","2019_oe_kersa_fababean","fababean",2011-03-12,2011-03-12,2011-03-12
"151","2019_oe_kurfa_chale_maize","maize",2011-09-22,2011-09-15,2011-10-10
"152","2019_oe_kurfa_chale_wheat","breadwheat",2011-12-08,2011-11-23,2011-12-21
"153","2019_oe_meta_haricotbean","commonbean",2011-11-14,2011-11-09,2011-11-25
"154","2019_oe_meta_haricotbean","haricotbean",2011-11-14,2011-11-09,2011-11-25
"155","2019_oe_meta_sorghum","sorghum",2011-09-23,2011-08-28,2011-11-23
"156","2019_oe_meta_tef","teff",2011-12-16,2011-12-12,2011-12-21
"157","2019_oe_meta_wheat","breadwheat",2011-11-20,2011-11-17,2011-11-25
"158","2019_oe_meta_wheat","durumwheat",2011-11-20,2011-11-17,2011-11-25
"159","2019_oeast_chiro_maize1","maize",NaN,Inf,-Inf
"160","2019_oromiasw_gudeyabilla_wheat","breadwheat",2019-07-23,2019-07-14,2019-08-04
"161","2019_osw_balegoro_chickpea","chickpea",NaN,Inf,-Inf
"162","2019_osw_balegoro_tef","teff",NaN,Inf,-Inf
"163","2019_osw_bore_fababean","fababean",2011-11-20,2011-11-14,2011-11-28
"164","2019_osw_bore_foodbarley","barley",2011-11-20,2011-11-18,2011-11-25
"165","2019_osw_bore_tef","teff",NaN,Inf,-Inf
"166","2019_osw_boset_haricotbean","commonbean",2019-07-15,2019-07-07,2019-07-23
"167","2019_osw_boset_haricotbean","haricotbean",2019-07-15,2019-07-07,2019-07-23
