,trial,crop,planting_date_avg,New edited date,planting_date_min,planting_date_min-edited,planting_date_max,planting_date_max-edited
165,2019_osw_bore_tef,teff,NaN,13/10/2019,Inf,03/10/2019,#NAME?,09/11/2019
166,2019_osw_boset_haricotbean,commonbean,15/07/2019,15/07/2019,07/07/2019,07/07/2019,23/07/2019,23/07/2019
167,2019_osw_boset_haricotbean,haricotbean,15/07/2019,15/07/2019,07/07/2019,07/07/2019,23/07/2019,23/07/2019
168,2019_osw_boset_tef,teff,14/07/2019,14/07/2019,04/07/2019,04/07/2019,29/07/2019,29/07/2019
169,2019_osw_dugda_foodbarley,barley,NaN,27/07/2019,Inf,12/07/2019,#NAME?,30/07/2019
170,2019_osw_dugda_haricotbean,commonbean,13/07/2019,13/07/2019,02/07/2019,02/07/2019,29/07/2019,29/07/2019
171,2019_osw_dugda_haricotbean,haricotbean,13/07/2019,13/07/2019,02/07/2019,02/07/2019,29/07/2019,29/07/2019
172,2019_osw_gbhbu_bwheat,breadwheat,NaN,25/07/2019,Inf,07/07/2019,#NAME?,04/08/2019
173,2019_osw_gbhbu_tef,teff,NaN,25/07/2019,Inf,04/07/2019,#NAME?,04/08/2019
174,2019_osw_goro_blackcumin,blackcumin,NaN,30/10/2019,Inf,14/10/2019,#NAME?,09/11/2019
175,2019_osw_goro_fababean,fababean,NaN,,Inf,Inf,#NAME?,
176,2019_osw_goro_haricotbean,commonbean,NaN,,Inf,Inf,#NAME?,
177,2019_osw_goro_haricotbean,haricotbean,NaN,,Inf,Inf,#NAME?,
178,2019_osw_lume_haricotbean,commonbean,12/07/2019,12/07/2019,28/06/2019,28/06/2019,27/07/2019,27/07/2019
179,2019_osw_lume_haricotbean,haricotbean,12/07/2019,12/07/2019,28/06/2019,28/06/2019,27/07/2019,27/07/2019
180,2019_osw_lume_tef,teff,24/07/2019,24/07/2019,05/07/2019,05/07/2019,08/08/2019,08/08/2019
181,2019_osw_sayoboji_fmillet,fingermillet,01/08/2019,01/08/2019,17/07/2019,17/07/2019,07/09/2019,07/09/2019
182,2019_osw_sinana_fababean,fababean,18/12/2011,24/08/2019,10/12/2011,16/08/2019,27/12/2011,02/09/2019
183,2019_osw_sinana_fieldpea,fieldpea,18/12/2011,24/08/2019,03/12/2011,09/08/2019,30/12/2011,05/09/2019
184,2019_osw_sinana_foodbarley,barley,16/12/2011,22/08/2019,01/12/2011,07/08/2019,28/12/2011,03/09/2019
185,2019_osw_sinana_oat,oat,17/12/2011,23/08/2019,07/12/2011,13/08/2019,30/12/2011,05/09/2019
186,2019_osw_sire_haricotbean,commonbean,12/06/2019,12/06/2019,06/06/2019,06/06/2019,20/06/2019,20/06/2019
187,2019_osw_sire_haricotbean,haricotbean,12/06/2019,12/06/2019,06/06/2019,06/06/2019,20/06/2019,20/06/2019
188,2019_osw_sire_wheat,breadwheat,NaN,,Inf,Inf,#NAME?,
189,2019_osw_tole_fababean,fababean,10/10/2011,17/06/2019,06/10/2011,13/06/2019,14/11/2011,21/07/2019
190,2019_osw_tole_wheat,breadwheat,NaN,,Inf,Inf,#NAME?,
191,2019_sayobojy_haricotbean2,commonbean,20/08/2019,20/08/2019,13/08/2019,13/08/2019,29/08/2019,29/08/2019
192,2019_sayobojy_haricotbean2,haricotbean,20/08/2019,20/08/2019,13/08/2019,13/08/2019,29/08/2019,29/08/2019
193,2019_snnpr_adilo_hbean,haricotbean,17/12/2011,23/08/2019,12/12/2011,18/08/2019,24/12/2011,30/08/2019
194,2019_snnpr_adilo_hbean,commonbean,17/12/2011,23/08/2019,12/12/2011,18/08/2019,24/12/2011,30/08/2019
195,2019_snnpr_adilo_tef,teff,27/06/2011,06/03/2019,12/06/2011,19/02/2019,11/07/2011,20/03/2019
196,2019_snnpr_anlemo_tef,teff,19/11/2011,26/07/2019,19/11/2011,26/07/2019,20/11/2011,27/07/2019
197,2019_snnpr_anlemo_wheat,breadwheat,23/11/2011,30/07/2019,22/11/2011,29/07/2019,25/11/2011,01/08/2019
198,2019_snnpr_chena_fababean,fababean,16/12/2011,22/08/2019,06/12/2011,12/08/2019,30/12/2011,05/09/2019
199,2019_snnpr_chena_wheat,breadwheat,NaN,,Inf,Inf,#NAME?,
200,2019_snnpr_dalocha_et_wheat,breadwheat,15/11/2011,22/07/2019,12/11/2011,19/07/2019,18/11/2011,25/07/2019
201,2019_snnpr_dalocha_md_haricotbean,commonbean,16/11/2011,23/07/2019,10/11/2011,17/07/2019,19/11/2011,26/07/2019
202,2019_snnpr_dalocha_md_haricotbean,haricotbean,16/11/2011,23/07/2019,10/11/2011,17/07/2019,19/11/2011,26/07/2019
203,2019_snnpr_dalocha_ws_tef,teff,15/11/2011,22/07/2019,12/11/2011,19/07/2019,18/11/2011,25/07/2019
204,2019_snnpr_dgale_haricotbean,commonbean,22/01/2012,03/10/2019,01/12/2011,07/08/2019,30/01/2012,11/10/2019
205,2019_snnpr_dgale_haricotbean,haricotbean,22/01/2012,03/10/2019,01/12/2011,07/08/2019,30/01/2012,11/10/2019
206,2019_snnpr_halaba_fmillet,fingermillet,10/11/2011,17/07/2019,09/10/2011,16/06/2019,09/12/2011,15/08/2019
207,2019_snnpr_halaba_haricotbean,haricotbean,08/12/2011,14/08/2019,03/12/2011,09/08/2019,15/12/2011,21/08/2019
208,2019_snnpr_halaba_tef,teff,22/12/2011,28/08/2019,19/12/2011,25/08/2019,25/12/2011,31/08/2019
209,2019_snnpr_humbo_kwangella_hbean,commonbean,NaN,05/05/2019,Inf,23/04/2019,#NAME?,08/05/2019
210,2019_snnpr_humbo_kwangella_hbean,haricotbean,NaN,05/05/2019,Inf,23/04/2019,#NAME?,08/05/2019
211,2019_snnpr_humbo_shochora_tef,teff,NaN,24/07/2019,Inf,22/07/2019,#NAME?,06/08/2019
212,2019_snnpr_jinka_alga_fmillet,fingermillet,12/08/2011,20/04/2019,09/08/2011,17/04/2019,16/08/2011,24/04/2019
213,2019_snnpr_jinka_bala_fmillet,fingermillet,05/08/2011,13/04/2019,01/08/2011,09/04/2019,16/08/2011,24/04/2019
214,2019_snnpr_jinka_baytsemal_fmillet,fingermillet,16/08/2011,24/04/2019,01/08/2011,09/04/2019,30/08/2011,08/05/2019
215,2019_snnpr_jinka_kaysa_fmillet,fingermillet,18/08/2011,26/04/2019,02/08/2011,10/04/2019,30/08/2011,08/05/2019
216,2019_snnpr_lemo_tef,teff,19/12/2011,25/08/2019,11/12/2011,17/08/2019,20/12/2011,26/08/2019
217,2019_snnpr_lemo_wheat,breadwheat,24/11/2011,31/07/2019,03/11/2011,10/07/2019,10/12/2011,16/08/2019
